127.0.0.1 - - [01/Sep/2022:09:21:09 +0900] "GET / HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:22 +0900] "GET /images/login/bg_login.gif HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:22 +0900] "GET /images/bl_dot.gif HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:25 +0900] "POST /uat/uia/actionLogin.do HTTP/1.1" 200 8334
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:31 +0900] "GET /EgovPageLink.do?menuNo=21&link=main%2Fsample_menu%2FEgovProductInfo HTTP/1.1" 200 6812
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:31 +0900] "GET /images/subtitle/img_subtitle02.gif HTTP/1.1" 200 42922
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:31 +0900] "GET /images/sample/egov_intro.jpg HTTP/1.1" 200 122790
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:31 +0900] "GET /images/bl/bl_h3.gif HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:31 +0900] "GET /images/bl/bl_h2.gif HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:32 +0900] "GET /EgovPageLink.do?menuNo=31&link=main%2Fsample_menu%2FEgovDownload HTTP/1.1" 200 15103
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:32 +0900] "GET /images/subtitle/img_subtitle03-01.gif HTTP/1.1" 200 51675
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:32 +0900] "GET /images/img_search.gif HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:32 +0900] "GET /images/sample/img_download.gif HTTP/1.1" 200 6993
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:32 +0900] "GET /images/num/ico_number01.gif HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:32 +0900] "GET /images/num/ico_number02.gif HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:32 +0900] "GET /images/num/ico_number03.gif HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:32 +0900] "GET /images/num/ico_number04.gif HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:32 +0900] "GET /images/num/ico_number05.gif HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:32 +0900] "GET /images/num/ico_number06.gif HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:32 +0900] "GET /images/num/ico_number07.gif HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:32 +0900] "GET /images/num/ico_number09.gif HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:32 +0900] "GET /images/num/ico_number08.gif HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:32 +0900] "GET /images/num/ico_number10.gif HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:32 +0900] "GET /images/bl/bl_h4.gif HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:32 +0900] "GET /images/btn/btn_prev.gif HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:32 +0900] "GET /images/btn/btn_next.gif HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:33 +0900] "POST /cop/smt/sim/EgovIndvdlSchdulManageWeekList.do HTTP/1.1" 200 17008
0:0:0:0:0:0:0:1 - - [01/Sep/2022:09:21:40 +0900] "GET /cmm/main/mainPage.do HTTP/1.1" 200 8334
